CMDLINE python3 timeit_multiply.py
MEM 0.281250 1537405448.3401
MEM 3.660156 1537405448.3506
MEM 7.230469 1537405448.3625
MEM 8.789062 1537405448.3753
MEM 10.039062 1537405448.3880
MEM 10.941406 1537405448.3989
MEM 10.941406 1537405448.4095
MEM 10.941406 1537405448.4213
MEM 10.941406 1537405448.4315
MEM 10.941406 1537405448.4425
MEM 10.941406 1537405448.4528
MEM 10.941406 1537405448.4656
MEM 10.941406 1537405448.4771
MEM 10.941406 1537405448.4897
MEM 10.941406 1537405448.5001
MEM 10.941406 1537405448.5129
MEM 10.941406 1537405448.5256
MEM 10.941406 1537405448.5382
MEM 10.941406 1537405448.5508
MEM 10.941406 1537405448.5634
MEM 10.941406 1537405448.5740
MEM 10.941406 1537405448.5860
MEM 10.941406 1537405448.5986
MEM 10.941406 1537405448.6112
MEM 10.941406 1537405448.6230
MEM 10.941406 1537405448.6337
MEM 10.941406 1537405448.6464
MEM 10.941406 1537405448.6569
MEM 10.941406 1537405448.6695
MEM 10.941406 1537405448.6821
MEM 10.941406 1537405448.6947
MEM 10.941406 1537405448.7064
MEM 10.941406 1537405448.7187
MEM 10.941406 1537405448.7313
MEM 10.941406 1537405448.7440
MEM 10.941406 1537405448.7566
MEM 10.941406 1537405448.7668
MEM 10.941406 1537405448.7785
MEM 10.941406 1537405448.7911
MEM 10.941406 1537405448.8037
MEM 10.941406 1537405448.8151
MEM 10.941406 1537405448.8277
MEM 10.941406 1537405448.8398
MEM 10.949219 1537405448.8503
