CMDLINE python3 timeit_multiply.py
MEM 10.765625 1537405546.4792
MEM 10.765625 1537405546.4918
MEM 10.765625 1537405546.5023
MEM 10.765625 1537405546.5150
MEM 10.765625 1537405546.5276
MEM 10.765625 1537405546.5402
MEM 10.765625 1537405546.5511
MEM 10.765625 1537405546.5637
MEM 10.765625 1537405546.5754
MEM 10.765625 1537405546.5881
MEM 10.765625 1537405546.6007
MEM 10.765625 1537405546.6133
MEM 10.765625 1537405546.6254
MEM 10.765625 1537405546.6380
MEM 10.765625 1537405546.6500
MEM 10.765625 1537405546.6610
MEM 10.765625 1537405546.6730
MEM 10.765625 1537405546.6856
MEM 10.765625 1537405546.6974
MEM 10.765625 1537405546.7088
MEM 10.765625 1537405546.7214
MEM 10.765625 1537405546.7337
MEM 10.765625 1537405546.7454
MEM 10.765625 1537405546.7581
MEM 10.765625 1537405546.7698
MEM 10.765625 1537405546.7812
MEM 10.765625 1537405546.7939
MEM 10.765625 1537405546.8066
MEM 10.765625 1537405546.8171
MEM 10.765625 1537405546.8297
MEM 10.765625 1537405546.8421
MEM 10.765625 1537405546.8547
MEM 10.765625 1537405546.8672
MEM 10.765625 1537405546.8798
MEM 10.765625 1537405546.8922
MEM 10.765625 1537405546.9024
MEM 10.765625 1537405546.9150
MEM 10.765625 1537405546.9257
MEM 10.765625 1537405546.9381
MEM 10.765625 1537405546.9485
MEM 10.765625 1537405546.9589
MEM 10.765625 1537405546.9707
MEM 10.765625 1537405546.9829
MEM 10.765625 1537405546.9956
MEM 10.765625 1537405547.0083
MEM 10.765625 1537405547.0209
MEM 10.765625 1537405547.0335
MEM 10.765625 1537405547.0461
MEM 10.765625 1537405547.0587
MEM 10.765625 1537405547.0714
MEM 10.765625 1537405547.0840
MEM 10.765625 1537405547.0967
MEM 10.765625 1537405547.1090
MEM 10.765625 1537405547.1216
MEM 10.765625 1537405547.1320
MEM 10.765625 1537405547.1424
MEM 10.765625 1537405547.1551
MEM 10.765625 1537405547.1677
MEM 10.765625 1537405547.1802
MEM 10.765625 1537405547.1923
MEM 10.765625 1537405547.2027
MEM 10.765625 1537405547.2129
MEM 10.765625 1537405547.2256
MEM 10.765625 1537405547.2383
MEM 10.765625 1537405547.2510
MEM 10.765625 1537405547.2637
MEM 10.765625 1537405547.2758
MEM 10.765625 1537405547.2885
MEM 10.765625 1537405547.3009
MEM 10.765625 1537405547.3135
MEM 10.765625 1537405547.3258
MEM 10.765625 1537405547.3384
MEM 10.765625 1537405547.3504
MEM 10.765625 1537405547.3630
MEM 10.765625 1537405547.3732
MEM 10.765625 1537405547.3859
MEM 10.765625 1537405547.3985
MEM 10.765625 1537405547.4091
MEM 10.765625 1537405547.4218
MEM 10.765625 1537405547.4344
MEM 10.765625 1537405547.4470
MEM 10.765625 1537405547.4592
MEM 10.765625 1537405547.4718
MEM 10.765625 1537405547.4823
MEM 10.765625 1537405547.4950
MEM 10.765625 1537405547.5077
MEM 10.765625 1537405547.5204
MEM 10.765625 1537405547.5330
MEM 10.765625 1537405547.5456
MEM 10.765625 1537405547.5583
MEM 10.765625 1537405547.5712
MEM 10.765625 1537405547.5826
MEM 10.765625 1537405547.5940
MEM 10.765625 1537405547.6066
MEM 10.765625 1537405547.6192
MEM 10.765625 1537405547.6319
MEM 10.765625 1537405547.6426
MEM 10.765625 1537405547.6552
MEM 10.765625 1537405547.6678
MEM 10.765625 1537405547.6804
MEM 10.765625 1537405547.6921
MEM 10.765625 1537405547.7048
MEM 10.765625 1537405547.7174
MEM 10.765625 1537405547.7300
MEM 10.765625 1537405547.7426
MEM 10.765625 1537405547.7533
MEM 10.765625 1537405547.7660
MEM 10.765625 1537405547.7786
MEM 10.765625 1537405547.7898
MEM 10.765625 1537405547.8024
MEM 10.765625 1537405547.8151
MEM 10.765625 1537405547.8260
MEM 10.765625 1537405547.8387
MEM 10.765625 1537405547.8513
MEM 10.765625 1537405547.8637
MEM 10.765625 1537405547.8763
MEM 10.765625 1537405547.8889
MEM 10.765625 1537405547.9011
MEM 10.765625 1537405547.9125
MEM 10.765625 1537405547.9252
MEM 10.765625 1537405547.9379
MEM 10.765625 1537405547.9505
MEM 10.765625 1537405547.9631
MEM 10.765625 1537405547.9744
MEM 10.765625 1537405547.9870
MEM 10.765625 1537405547.9996
MEM 10.765625 1537405548.0122
MEM 10.765625 1537405548.0243
MEM 10.765625 1537405548.0369
MEM 10.765625 1537405548.0490
MEM 10.765625 1537405548.0595
MEM 10.765625 1537405548.0721
MEM 10.765625 1537405548.0847
MEM 10.765625 1537405548.0973
MEM 10.765625 1537405548.1095
MEM 10.765625 1537405548.1222
MEM 10.765625 1537405548.1344
MEM 10.765625 1537405548.1471
MEM 10.765625 1537405548.1588
MEM 10.765625 1537405548.1714
MEM 10.765625 1537405548.1824
MEM 10.765625 1537405548.1951
MEM 10.765625 1537405548.2077
MEM 10.765625 1537405548.2183
MEM 10.765625 1537405548.2309
MEM 10.765625 1537405548.2429
MEM 10.765625 1537405548.2531
MEM 10.765625 1537405548.2657
MEM 10.765625 1537405548.2762
MEM 10.765625 1537405548.2889
MEM 10.765625 1537405548.2990
MEM 10.765625 1537405548.3096
